 Entry id   TP   TN   FP   FN
         543         213         183          71          76
         544         214         183          71          76
         545         215         183          71          76
         546         215         184          71          76
         547         215         185          71          76
         548         216         185          71          76
         549         217         185          71          76
         550         217         186          71          76
         551         218         186          71          76
         552         219         186          71          76
         553         220         186          71          76
         554         221         186          71          76
         555         222         186          71          76
         556         223         186          71          76
         557         223         186          71          77
         558         223         187          71          77
         559         223         187          71          78
         560         223         188          71          78
         561         223         188          71          79
         562         223         189          71          79
         563         223         190          71          79
         564         223         190          72          79
         565         223         191          72          79
         566         223         191          72          80
         567         223         192          72          80
         568         223         193          72          80
         569         223         194          72          80
         570         224         194          72          80
         571         225         194          72          80
         572         226         194          72          80
 Sensitivity:   0.73856210708618164     
 Specificity:   0.72932332754135132     
 Precision:   0.75838923454284668     
 Accuracy:   0.73426574468612671     
